               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.038688,            0.010453,             0.01284,             0.61514,             0.71716,             0.67425,             0.39595,            0.036533,           0.0038111,            0.020299,           0.0082675,           0.0082675,           0.0082675
                  37,            0.040163,           0.0094618,           0.0098966,             0.57944,             0.74693,             0.53641,             0.31384,            0.045509,           0.0036917,            0.020814,            0.008218,            0.008218,            0.008218
                  38,            0.039791,           0.0094701,             0.01132,             0.60473,             0.76579,             0.69722,             0.33061,            0.043018,           0.0036602,            0.020904,           0.0081685,           0.0081685,           0.0081685
                  39,            0.037589,           0.0092526,            0.010936,             0.66974,             0.69649,             0.71459,             0.42762,            0.040605,           0.0035255,            0.018827,            0.008119,            0.008119,            0.008119
                  40,            0.038029,           0.0090515,            0.014065,             0.69607,             0.76699,             0.74151,             0.45169,            0.040165,           0.0035367,            0.018515,           0.0080695,           0.0080695,           0.0080695
                  41,            0.036971,           0.0080537,           0.0086176,             0.81256,             0.76579,             0.78085,             0.47549,            0.035394,           0.0036027,            0.019002,             0.00802,             0.00802,             0.00802
                  42,            0.037051,           0.0088201,            0.010898,             0.80752,             0.76807,             0.80173,             0.46197,            0.035811,           0.0035982,            0.019705,           0.0079705,           0.0079705,           0.0079705
                  43,            0.037792,           0.0097321,           0.0094341,             0.80786,             0.72982,             0.78336,             0.48848,            0.033451,           0.0035312,            0.020496,            0.007921,            0.007921,            0.007921
                  44,            0.036566,           0.0088449,           0.0088355,             0.83808,             0.70948,             0.76504,             0.50645,            0.032594,           0.0036614,            0.019472,           0.0078715,           0.0078715,           0.0078715
                  45,            0.037667,           0.0092129,           0.0097737,             0.62428,             0.68947,              0.6138,             0.35012,            0.043405,           0.0037355,            0.019863,            0.007822,            0.007822,            0.007822
                  46,            0.036891,           0.0085074,           0.0069713,             0.65216,             0.73947,             0.63298,             0.28308,            0.052519,           0.0036476,            0.020677,           0.0077725,           0.0077725,           0.0077725
                  47,            0.036602,            0.008713,           0.0083524,             0.82097,             0.76579,             0.78848,             0.47692,            0.029725,           0.0036736,            0.019823,            0.007723,            0.007723,            0.007723
                  48,             0.03615,           0.0084096,            0.007532,              0.8727,             0.74912,             0.81001,              0.4476,            0.035559,           0.0034726,            0.019245,           0.0076735,           0.0076735,           0.0076735
                  49,            0.036592,           0.0083118,           0.0072932,             0.70364,             0.63685,             0.71356,             0.34252,             0.03914,           0.0034153,            0.020018,            0.007624,            0.007624,            0.007624
                  50,            0.036706,           0.0089162,           0.0064773,             0.78608,             0.64336,             0.73163,             0.30174,            0.041833,           0.0034282,            0.021128,           0.0075745,           0.0075745,           0.0075745
                  51,            0.035087,           0.0090841,           0.0071377,              0.8172,             0.70614,             0.76604,             0.46765,            0.030094,           0.0034437,            0.022326,            0.007525,            0.007525,            0.007525
                  52,            0.033245,           0.0086798,           0.0064164,             0.72904,             0.64649,             0.71889,             0.41724,            0.032087,           0.0034082,              0.0228,           0.0074755,           0.0074755,           0.0074755
                  53,            0.033158,           0.0088071,            0.010192,             0.75979,             0.65212,             0.74837,             0.45087,            0.034542,           0.0033469,            0.022488,            0.007426,            0.007426,            0.007426
                  54,             0.03363,           0.0081307,           0.0076759,             0.85956,             0.71579,             0.80108,             0.46658,            0.030136,           0.0033786,            0.021519,           0.0073765,           0.0073765,           0.0073765
                  55,            0.033955,            0.008341,            0.008035,             0.69626,             0.73246,             0.66515,             0.38149,            0.045502,           0.0033965,             0.02084,            0.007327,            0.007327,            0.007327
                  56,            0.035697,            0.009244,           0.0071771,             0.86948,             0.76419,             0.76995,             0.38135,            0.037389,           0.0035779,             0.01992,           0.0072775,           0.0072775,           0.0072775
                  57,             0.03443,           0.0082266,           0.0066771,             0.85433,             0.72201,             0.76607,             0.43741,            0.032233,            0.003464,             0.01935,            0.007228,            0.007228,            0.007228
                  58,            0.031719,           0.0081717,            0.006739,             0.74427,             0.67982,             0.71924,             0.39051,            0.035621,           0.0033352,            0.020488,           0.0071785,           0.0071785,           0.0071785
                  59,            0.031876,           0.0076772,           0.0084813,             0.78878,             0.78157,             0.82251,             0.54127,            0.030311,           0.0031979,            0.019671,            0.007129,            0.007129,            0.007129
                  60,            0.031419,           0.0076349,           0.0098052,              0.7841,             0.66316,             0.79067,             0.46532,            0.030522,           0.0033207,            0.020502,           0.0070795,           0.0070795,           0.0070795
                  61,            0.031375,           0.0083564,           0.0077789,             0.67947,             0.82807,             0.78912,              0.4933,            0.028639,           0.0032775,            0.020889,             0.00703,             0.00703,             0.00703
                  62,            0.032349,           0.0090006,           0.0073861,             0.67282,             0.71316,             0.71901,              0.3219,            0.042715,           0.0031986,            0.022639,           0.0069805,           0.0069805,           0.0069805
                  63,            0.034209,           0.0093422,           0.0085145,             0.67208,             0.71316,             0.70561,              0.4613,            0.030676,           0.0031617,            0.024208,            0.006931,            0.006931,            0.006931
                  64,            0.029883,           0.0078618,           0.0075392,             0.74208,             0.72982,             0.77004,             0.50005,            0.027298,           0.0032036,            0.022779,           0.0068815,           0.0068815,           0.0068815
                  65,             0.03058,           0.0081294,           0.0063611,             0.82488,             0.70351,             0.78558,             0.48733,            0.029133,            0.003186,            0.022488,            0.006832,            0.006832,            0.006832
                  66,            0.031846,           0.0084562,           0.0053761,             0.81552,             0.73862,             0.80007,             0.51541,            0.029532,            0.003124,             0.02281,           0.0067825,           0.0067825,           0.0067825
